Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32SmgWalkB,271,7842193693029557975,1.0,0.75,0.0,32,397,0.3217
ScenarioSize64Probes32SmgWalkB,272,2392680491109428476,1.0,0.75,0.0,32,357,0.3105
ScenarioSize64Probes32SmgWalkB,273,3866198558357324097,1.0,0.75,0.0,32,344,0.2915
ScenarioSize64Probes32SmgWalkB,274,1395931845597272999,1.0,0.75,0.0,32,329,0.3097
ScenarioSize64Probes32SmgWalkB,275,2411645404100907887,1.0,0.75,0.0,32,383,0.3248
ScenarioSize64Probes32SmgWalkB,276,3005318628866213391,1.0,0.75,0.0,32,361,0.3107
ScenarioSize64Probes32SmgWalkB,277,1188136200599286222,1.0,0.75,0.0,32,349,0.3149
ScenarioSize64Probes32SmgWalkB,278,679805008651456991,1.0,0.75,0.0,32,368,0.3095
ScenarioSize64Probes32SmgWalkB,279,2317393341493435360,1.0,0.75,0.0,32,335,0.3036
ScenarioSize64Probes32SmgWalkB,280,4066160913880139597,1.0,0.75,0.0,32,365,0.3184
ScenarioSize64Probes32SmgWalkB,281,880879381715801850,1.0,1.0,0.0,32,530,0.457
ScenarioSize64Probes32SmgWalkB,282,1726760884372734954,1.0,1.0,0.0,32,554,0.4724
ScenarioSize64Probes32SmgWalkB,283,4258223208824758363,1.0,1.0,0.0,32,518,0.4731
ScenarioSize64Probes32SmgWalkB,284,2933576904639372249,1.0,1.0,0.0,32,501,0.4658
ScenarioSize64Probes32SmgWalkB,285,1619482046725515514,1.0,1.0,0.0,32,526,0.4846
ScenarioSize64Probes32SmgWalkB,286,8295202924942681088,1.0,1.0,0.0,32,561,0.4883
ScenarioSize64Probes32SmgWalkB,287,6220178296303381513,1.0,1.0,0.0,32,465,0.4307
ScenarioSize64Probes32SmgWalkB,288,6524421527956593628,1.0,1.0,0.0,32,564,0.5049
ScenarioSize64Probes32SmgWalkB,289,1279641774440027009,1.0,1.0,0.0,32,546,0.4792
ScenarioSize64Probes32SmgWalkB,290,7094737511858396355,1.0,1.0,0.0,32,524,0.4807
ScenarioSize64Probes32SmgWalkB,291,7842193693029557975,1.0,1.0,0.0,32,554,0.5061
ScenarioSize64Probes32SmgWalkB,292,2392680491109428476,1.0,1.0,0.0,32,513,0.4651
ScenarioSize64Probes32SmgWalkB,293,3866198558357324097,1.0,1.0,0.0,32,521,0.4558
ScenarioSize64Probes32SmgWalkB,294,1395931845597272999,1.0,1.0,0.0,32,477,0.4546
ScenarioSize64Probes32SmgWalkB,295,2411645404100907887,1.0,1.0,0.0,32,495,0.4556
ScenarioSize64Probes32SmgWalkB,296,3005318628866213391,1.0,1.0,0.0,32,538,0.5007
ScenarioSize64Probes32SmgWalkB,297,1188136200599286222,1.0,1.0,0.0,32,526,0.48
ScenarioSize64Probes32SmgWalkB,298,679805008651456991,1.0,1.0,0.0,32,579,0.4949
ScenarioSize64Probes32SmgWalkB,299,2317393341493435360,1.0,1.0,0.0,32,563,0.5173
ScenarioSize64Probes32SmgWalkB,300,4066160913880139597,1.0,1.0,0.0,32,535,0.4844
