Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims,Score
ScenarioSize64Probes32QuadSmgB,272,2392680491109428476,1.0,0.75,0.0,32,464,0.3775
ScenarioSize64Probes32QuadSmgB,273,3866198558357324097,1.0,0.75,0.0,32,479,0.378
ScenarioSize64Probes32QuadSmgB,274,1395931845597272999,1.0,0.75,0.0,32,473,0.3806
ScenarioSize64Probes32QuadSmgB,275,2411645404100907887,1.0,0.75,0.0,32,453,0.3805
ScenarioSize64Probes32QuadSmgB,276,3005318628866213391,1.0,0.75,0.0,32,478,0.3805
ScenarioSize64Probes32QuadSmgB,277,1188136200599286222,1.0,0.75,0.0,32,445,0.3829
ScenarioSize64Probes32QuadSmgB,278,679805008651456991,1.0,0.75,0.0,32,460,0.3827
ScenarioSize64Probes32QuadSmgB,279,2317393341493435360,1.0,0.75,0.0,32,454,0.3889
ScenarioSize64Probes32QuadSmgB,280,4066160913880139597,1.0,0.75,0.0,32,481,0.3818
ScenarioSize64Probes32QuadSmgB,281,880879381715801850,1.0,1.0,0.0,32,640,0.5759
ScenarioSize64Probes32QuadSmgB,282,1726760884372734954,1.0,1.0,0.0,32,648,0.5615
ScenarioSize64Probes32QuadSmgB,283,4258223208824758363,1.0,1.0,0.0,32,582,0.5603
ScenarioSize64Probes32QuadSmgB,284,2933576904639372249,1.0,1.0,0.0,32,679,0.5791
ScenarioSize64Probes32QuadSmgB,285,1619482046725515514,1.0,1.0,0.0,32,632,0.5515
ScenarioSize64Probes32QuadSmgB,286,8295202924942681088,1.0,1.0,0.0,32,629,0.5674
ScenarioSize64Probes32QuadSmgB,287,6220178296303381513,1.0,1.0,0.0,32,626,0.5811
ScenarioSize64Probes32QuadSmgB,288,6524421527956593628,1.0,1.0,0.0,32,598,0.5696
ScenarioSize64Probes32QuadSmgB,289,1279641774440027009,1.0,1.0,0.0,32,658,0.573
ScenarioSize64Probes32QuadSmgB,290,7094737511858396355,1.0,1.0,0.0,32,660,0.5635
ScenarioSize64Probes32QuadSmgB,291,7842193693029557975,1.0,1.0,0.0,32,622,0.5684
ScenarioSize64Probes32QuadSmgB,292,2392680491109428476,1.0,1.0,0.0,32,644,0.5684
ScenarioSize64Probes32QuadSmgB,293,3866198558357324097,1.0,1.0,0.0,32,621,0.573
ScenarioSize64Probes32QuadSmgB,294,1395931845597272999,1.0,1.0,0.0,32,617,0.5586
ScenarioSize64Probes32QuadSmgB,295,2411645404100907887,1.0,1.0,0.0,32,668,0.5637
ScenarioSize64Probes32QuadSmgB,296,3005318628866213391,1.0,1.0,0.0,32,643,0.5667
ScenarioSize64Probes32QuadSmgB,297,1188136200599286222,1.0,1.0,0.0,32,609,0.5649
ScenarioSize64Probes32QuadSmgB,298,679805008651456991,1.0,1.0,0.0,32,632,0.5664
ScenarioSize64Probes32QuadSmgB,299,2317393341493435360,1.0,1.0,0.0,32,664,0.5825
ScenarioSize64Probes32QuadSmgB,300,4066160913880139597,1.0,1.0,0.0,32,681,0.584
